"","site_code","Q_n_total","Q_stats1_pt","Q_interp1_pt","P_n_total","P_stats1_pt","P_interp1_pt","interp_n","interp_interval_mean","interp_interval_median"
"1","ALBION",15072,0,0,25659,5.7,24,409,15.0733496332518,7
"2","BC_SW_20",10427,0,0,4257,0,18.3,70,11.1428571428571,1
"3","DRKR",23669,0,0,3186,0,0,0,NA,NA
"4","EB",10418,0,0,9155,0,91.9,743,11.321668909825,6
"5","GSWS02",24837,0,0,23878,21.9,8.9,16,133.5625,71.5
"6","N04D",13715,0,0,14802,7.7,86.4,1204,10.6270764119601,4
"7","RI",28874,0,0,17906,0,3.9,152,4.59210526315789,3
"8","W-5",12347,0,0,9976,0,86,1395,6.15125448028674,6
"9","WS-4",25082,0,0,NA,NA,NA,0,NA,NA
"10","WS77",19418,0,0,19744,0,20.3,294,13.608843537415,3
"11","allequash_creek",11829,0,0,NA,NA,NA,0,NA,NA
"12","andrews_creek",11960,0,0,13728,2.1,86,1927,6.12350804359107,6
"13","east_fork",16071,0,0,16072,0,0,5,1.2,1
"14","mountain_creek_tributary",11716,0,0,12062,0.4,67,1911,4.23024594453166,3
"15","w3",24196,0,0,24837,0,0,0,NA,NA
